"sys_pk","sys_timestamp","sys_guid","sys_dtcreated","sys_user","sys_lastuser","sys_exported","sys_dtexported","sys_info","codigo","descripcion","tcambio","sys_recver","sys_deleted","sys_lock"

"1","2017-10-06 06:03:22","411657CCFB32427A9C56D5D06C29FB55","2007-10-22 05:42:01",\N,\N,"0","2007-10-22 05:42:01",\N,"MXN","Peso Mexicano","1.00000000","0",\N,\N
"2","2017-05-13 12:22:23","54009A3124044F1DA86F5C10071D4350","2007-10-23 10:12:03",\N,\N,"0","2007-10-23 10:12:03",\N,"USD","Dólar estadounidense","12.00000000","0",\N,\N
"3","2017-05-13 12:22:23","F9CF1BACCAB6412D902F51A8DC250693","2008-01-28 01:28:51",\N,\N,"0","2008-01-28 01:28:51",\N,"EUR","Euro","15.00000000","0",\N,\N
"4","2016-01-01 12:00:00","a03e3ba6844049a1af4e8c79a00fc72e","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"AFN","Afgani afgano","1.00000000","0",\N,\N
"5","2016-01-01 12:00:00","474deaad47164ddabfb9451faaf67768","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"ALL","Lek albanés","1.00000000","0",\N,\N
"6","2016-01-01 12:00:00","3ed4e951e27d4aa38f8e77def4cf0cd5","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"AMD","Dram armenio","1.00000000","0",\N,\N
"7","2016-01-01 12:00:00","352cfa1d6d2c4a0fbc52cdaa87b9b5ce","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"ANG","Florín antillano neerlandés","1.00000000","0",\N,\N
"8","2016-01-01 12:00:00","d35ced5c3d7b4b439d08b83cc62b0738","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"AOA","Kwanza angoleño","1.00000000","0",\N,\N
"9","2016-01-01 12:00:00","0699aa65ec304eb4a2edf70823ec376c","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"ARS","Peso argentino","1.00000000","0",\N,\N
"10","2016-01-01 12:00:00","4cd2ea44738d40718f93fe6dd05002d2","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"AUD","Dólar australiano","1.00000000","0",\N,\N
"11","2016-01-01 12:00:00","fed8d5693c674611a3816d52b644276f","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"AWG","Florín arubeño","1.00000000","0",\N,\N
"12","2016-01-01 12:00:00","b48f8ca0ce514992aab44337e330cbe8","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"AZN","Manat azerbaiyano","1.00000000","0",\N,\N
"13","2016-01-01 12:00:00","45299f9a32d9474083cb200b26d14ad0","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"BBD","Dólar de Barbados","1.00000000","0",\N,\N
"14","2016-01-01 12:00:00","6691ff571efa427d82fcc2c873d67e42","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"BDT","Taka de Bangladés","1.00000000","0",\N,\N
"15","2016-01-01 12:00:00","b91b7a41b10b4c9d9b7d9e3558aa6eaa","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"BGN","Lev búlgaro","1.00000000","0",\N,\N
"16","2016-01-01 12:00:00","4a0622f4c3bc4d389d128bd064c468f9","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"BHD","Dinar bahreiní","1.00000000","0",\N,\N
"17","2016-01-01 12:00:00","aa6bc6f6acb143b897807fb33ba95ac1","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"BIF","Franco burundés","1.00000000","0",\N,\N
"18","2016-01-01 12:00:00","47813708e82b447596ef493a08987f3c","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"BMD","Dólar de Bermuda","1.00000000","0",\N,\N
"19","2016-01-01 12:00:00","3a98f6a11bee45099c29daf13b0f7d9d","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"BND","Dólar de Brunéi","1.00000000","0",\N,\N
"20","2016-01-01 12:00:00","cfb518b448c04988bb91a9806537d793","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"BOB","Boliviano","1.00000000","0",\N,\N
"21","2016-01-01 12:00:00","858a3e0ef1dd45bdad223c2dff96170f","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"BRL","Real brasileño","1.00000000","0",\N,\N
"22","2016-01-01 12:00:00","129d50c9cd704d68afc787edb17cadc4","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"BSD","Dólar bahameño","1.00000000","0",\N,\N
"23","2016-01-01 12:00:00","bdf88882877f4b969c3b95e62e0b6eab","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"BTN","Ngultrum de Bután","1.00000000","0",\N,\N
